movie_id,title,genre,emotion_tags,BA,duration
0,1. The Shawshank Redemption (1994),Drama,Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DNmzuHjWmXOc&ved=2ahUKEwj7mLTry-iKAxV0TaQEHU4dC0cQwqsBegQIDxAF&usg=AOvVaw081Iuji7L1xGsaJNlcYE7u,142
1,2. The Godfather (1972),"Crime, Drama",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DtP2dRBwhPpo&ved=2ahUKEwjuq_2yzOiKAxX_VaQEHTLSOTMQwqsBegQIDRAG&usg=AOvVaw3LX-Rm0WpOG1oOi_a4TIqC,175
2,3. The Dark Knight (2008),"Action, Crime, Drama",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DUMgb3hQCb08&ved=2ahUKEwjvjtjLzOiKAxVoU6QEHdnQGFIQtwJ6BAgOEAI&usg=AOvVaw2RtnfAQWsrcZDDtI6mQHoj,152
3,4. The Godfather: Part II (1974),"Crime, Drama",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D9O1Iy9od7-A&ved=2ahUKEwiD0_7azOiKAxUIKvsDHUxrNYIQtwJ6BAgOEAI&usg=AOvVaw1uCUjHmJvPS6bdxM7-KG6s,202
4,5. The Lord of the Rings: The Return of the King (2003),"Action, Adventure, Drama",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DKYJCe_PLVaE&ved=2ahUKEwi0noHizOiKAxUJK_sDHVSpBaoQtwJ6BAgQEAI&usg=AOvVaw2sMW9GXRfpzqyYHPE2LTck,201
5,6. Pulp Fiction (1994),"Crime, Drama",Rire,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D_H9ZgYyqZRc&ved=2ahUKEwi9wsbqzOiKAxWCfKQEHUw1EQAQtwJ6BAgPEAI&usg=AOvVaw0KxGz42V3J7J3zc8z1hsJ9,154
6,7. Schindler's List (1993),"Biography, Drama, History",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DONWtyxzl-GE&ved=2ahUKEwirm8HzzOiKAxVNT6QEHRZWJm0QtwJ6BAgPEAI&usg=AOvVaw3B2kMAScsO93w-7p9IVR4z,195
7,8. 12 Angry Men (1957),"Crime, Drama",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DfyzdvalO0FY&ved=2ahUKEwjCs6_6zOiKAxXKV6QEHSYVPBkQtwJ6BAgOEAI&usg=AOvVaw1kK1JhipWibAShCD5yeag6,96
8,9. Inception (2010),"Action, Adventure, Sci-Fi",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DCPTIgILtna8&ved=2ahUKEwju8dGBzeiKAxUpVqQEHb1APCwQtwJ6BAgNEAI&usg=AOvVaw1eaorj0jWqHwVY8JGZO-tW,148
9,10. Fight Club (1999),Drama,Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3Dc_Sf-XY3t-I&ved=2ahUKEwjk9KGIzeiKAxVzSKQEHc_BB0IQtwJ6BAgPEAI&usg=AOvVaw3RgKhbRLQ3apREHDvy8QyW,139
10,11. The Lord of the Rings: The Fellowship of the Ring (2001),"Action, Adventure, Drama",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D_e8QGuG50ro&ved=2ahUKEwjlmtmOzeiKAxUFTaQEHQqGHxoQtwJ6BAgNEAI&usg=AOvVaw0zArCKeMFic_O7yFNncpB7,178
11,12. Forrest Gump (1994),"Drama, Romance",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DSxJv_uOmXvU&ved=2ahUKEwjB0YiVzeiKAxWCfKQEHRojEeAQtwJ6BAgFEAI&usg=AOvVaw0cG5E-DefSxgUgoct6l-TM,142
12,"13. The Good, the Bad and the Ugly (1966)",Western,Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DIFNUGzCOQoI&ved=2ahUKEwir44ubzeiKAxX9KvsDHVzCNd4QtwJ6BAgREAI&usg=AOvVaw1SFHDWWWzE_Fbd39F-lpNI,178
13,14. Hamilton (2020),"Biography, Drama, History",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.dailymotion.com/video/x9bpjz8&ved=2ahUKEwjNpIqizeiKAxWIVqQEHY_-JAwQwqsBegQIGBAE&usg=AOvVaw2m6rZpqdeQMAkP2zLStN6z,160
14,15. The Lord of the Rings: The Two Towers (2002),"Action, Adventure, Drama",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D9SHOa6q8WxY&ved=2ahUKEwi3seqnzeiKAxUMRaQEHVg7IhEQtwJ6BAgOEAI&usg=AOvVaw2eazl8aInNv_eSe_pw-FWa,179
15,16. The Matrix (1999),"Action, Sci-Fi",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D8xx91zoASLY&ved=2ahUKEwjFhJivzeiKAxUMRaQEHVg7IhEQwqsBegQIBxAG&usg=AOvVaw373ULqa2DcEV45HyzQPKGC,136
16,17. Goodfellas (1990),"Biography, Crime, Drama",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.dailymotion.com/video/xrqovf&ved=2ahUKEwi2vLnlzuiKAxUOUqQEHUMnHKsQtwJ6BAgNEAI&usg=AOvVaw2q8QwOdukn6Qxyfb-eWiJA,146
17,18. Star Wars: Episode V - The Empire Strikes Back (1980),"Action, Adventure, Fantasy",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D14db-Sw3dc0&ved=2ahUKEwiNj8TrzuiKAxWERqQEHaArJ4UQtwJ6BAgPEAI&usg=AOvVaw1dMPC0CYGsReJ3nyCTpbWh,124
18,19. One Flew Over the Cuckoo's Nest (1975),Drama,Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DLQEYisXqdg8&ved=2ahUKEwjNwq71zuiKAxWaUKQEHZBxIAIQtwJ6BAgOEAI&usg=AOvVaw3VjZz_UDw_Fmhhg7hlyL3o,133
19,20. Parasite (2019),"Comedy, Drama, Thriller",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3De_sUpjVgqU4&ved=2ahUKEwiys7b8zuiKAxU5RKQEHWOUOBUQtwJ6BAgPEAI&usg=AOvVaw1imqfAdcqfXBsN_LngkeB0,132
20,21. Interstellar (2014),"Adventure, Drama, Sci-Fi",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D0rDczIsHJn4&ved=2ahUKEwjf25GCz-iKAxWXUaQEHTheMZkQtwJ6BAgOEAI&usg=AOvVaw2FkxDhV6N4OlDixjZcsstJ,169
21,22. City of God (2002),"Crime, Drama",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D7K-M7lmaQQA&ved=2ahUKEwjy64CPz-iKAxXoVaQEHb_lNoQQtwJ6BAgOEAI&usg=AOvVaw2SZSU8L2C0IlKdJjDWON-O,130
22,23. Spirited Away (2001),"Animation, Adventure, Family",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D5-cro68n7CE&ved=2ahUKEwiSv7GXz-iKAxVDcKQEHQgJMysQtwJ6BAgQEAI&usg=AOvVaw2JQ1wBrNWhAunwlRNQCLPG,125
23,24. Saving Private Ryan (1998),"Drama, War",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DtMfsrRZxAHg&ved=2ahUKEwimt4HKz-iKAxXFfqQEHW2WOioQtwJ6BAgQEAI&usg=AOvVaw3FtL8E09XpzZomYWofXp2L,169
24,25. The Green Mile (1999),"Crime, Drama, Fantasy",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3Dmccs8Ql8m8o&ved=2ahUKEwiYutHPz-iKAxUtUqQEHQo4BfsQtwJ6BAgPEAI&usg=AOvVaw30nW9C63WQC20NQA0ZTYGy,189
25,26. Life Is Beautiful (1997),"Comedy, Drama, Romance",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D8CTjcVr9Iao&ved=2ahUKEwjo6aLUz-iKAxXHVaQEHS_nBfwQtwJ6BAgQEAI&usg=AOvVaw2gsBK2NxI9hM1to6lSzLxM,116
26,27. Se7en (1995),"Crime, Drama, Mystery",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DBLY4treE0XU&ved=2ahUKEwiXtsPaz-iKAxU0KvsDHV_MJNYQtwJ6BAgQEAI&usg=AOvVaw2vWpZOuya0ho0p9egs_Due,127
